,city,country,lat,long,text,reason
0,Carcross,Yukon,60.1676,-134.7074,"Carcross, Yukon",Adventure
Adventure,Skagway,AK,59.4554,-135.3153,"Skagway, AK",Adventure
2,Ketchikan,AK,55.3422,-131.6461,"Ketchikan, AK",Adventure
3,Juneau,AK,58.3019,-134.4197,"Juneau, AK",Adventure
4,Hanover,NH,43.7022,-72.2896,"Hanover, NH",Studies
5,Albuquerque,NM ,35.0844,-106.6504,"Albuquerque, NM ",Adventure
6,Chicago,IL,41.811929,-87.68732,"Chicago, IL",Adventure
7,Victoria,BC,48.4284,-123.3656,"Victoria, BC",Adventure
8,Vancouver,BC,49.2827,-123.1207,"Vancouver, BC",Adventure
9,Squamish,BC,49.7016,-123.1558,"Squamish, BC",Adventure
10,Whistler,BC,50.1163,-122.9574,"Whistler, BC",Adventure
11,Arenal,Costa Rica,10.4389,-84.71145600000001,"Arenal, Costa Rica",Studies
12,Atenas,Costa Rica,9.975317,-84.38324,"Atenas, Costa Rica",Studies
13,San Jose,Costa Rica,9.924974,-84.092102,"San Jose, Costa Rica",Studies
14,Panama City,Panama,8.960452,-79.552002,"Panama City, Panama",Adventure
15,Bogota,Colombia,4.584981,-74.080811,"Bogota, Colombia",Friends
16,Santa Marta,Colombia,11.208376,-74.256592,"Santa Marta, Colombia",Adventure
17,Reykjavik,Iceland,64.163918,-21.928711,"Reykjavik, Iceland",Adventure
18,London,UK,51.486728,-0.153809,"London, England",Adventure
19,Edinburgh,UK,55.929394,-3.186035,"Edinburgh, Scotland",Studies
20,Glasgow,UK,55.843133,-4.284668,"Glasgow, Scotland",Friends
21,Oban,UK,56.41053,-5.454712000000001,"Oban, Scotland",Friends
22,Mull,UK,56.434835,-5.888672,"Mull, Scotland",Adventure
23,Iona,UK,56.329018,-6.405716,"Iona, Scotland",Adventure
24,St Andrews,UK,56.334645,-2.8028869999999997,"St Andrews, Scotland",Adventure
25,Sterling,UK,56.113596,-3.955078,"Sterling, Scotland",Adventure
26,Bristol,UK,51.487476,-2.642212,"Bristol, England",Friends
27,Newcastle,UK,54.963622,-1.61499,"Newcastle, UK",Adventure
28,LLantilio Cresseny,UK,51.823803,-2.851639,"LLantilio Cresseny, Wales",Friends
29,Calais,France,50.929223,1.889648,"Calais, France",Friends
30,Paris,France,48.887295,2.416992,"Paris, France",Friends
31,Berlin,Germany,52.42336,13.40332,"Berlin, Germany",Friends
32,Hannover,Germany,52.345827,9.667969,"Hannover, Germany",Friends
33,Milan,Italy,45.450738,9.184569999999999,"Milan, Italy",Friends
34,Riomaggiare,Italy,44.126812,9.706421,"Riomaggiare, Italy",Friends
35,Lugano,Switzerland,"46.003535,",8.951797000000001,"Lugano, Switzerland",Friends
36,Bern,Switzerland,46.949442,7.465210000000001,"Bern, Switzerland",Friends
37,Basel,Switzerland,47.542353,7.591553,"Basel, Switzerland",Adventure
38,Zurich,Switzerland,47.352082,8.536377,"Zurich, Switzerland",Friends
39,Istanbul,Turkey,41.105226,28.87207,"Istanbul, Turkey",Friends
40,Kappadokia,Turkey,38.640388,34.846306,"Kappadokia, Turkey",Adventure
